brand,url_en,key,snacks_key
Cheetos,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=CHEETOS&&,cheetos,CHEETOS
Dole Lemonade,,dole-lemonade,
Doritos,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=DORITOS&&,doritos,DORITOS
Fritos,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=FRITOS&&,fritos,FRITOS
Lay’s,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=LAY%27S&&,lays,LAY%27S
MTN DEW,,mtndew,
Quaker,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=QUAKER&&,quaker,QUAKER
Rold Gold,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=ROLD%20GOLD&&,roldgold,ROLD%20GOLD
Ruffles,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=RUFFLES&&,ruffles,RUFFLES
Smartfood,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=SMARTFOOD&&,smartfood,SMARTFOOD
SodaStream,,sodastream,
Stacy’s,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=STACY%27S&&,stacys,STACY%27S
Tostitos,https://shop-tastyrewards-dev.azurefd.net/productlist?deepLink=true&&Brand=TOSTITOS&&,tostitos,TOSTITOS
Tropicana ,,tropicana,
Bubly,,bubly,