ID,Category,Name,Link,Image,Large Image,Description,Ingredients,Alert,Portion,Nutrition Facts
98676,Products,Grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Enflammé,,Cheetos Puffs Flamin Hot.png,Detail Cheetos Puffs Flamin Hot.png,"La SAVEUR FROMAGÉE dont vous raffolez avec une BONNE DOSE DE PIQUANT. 

ATTENTION! Le contenu de ce sac est DANGEREUSEMENT FROMAGÉ® et DÉLICIEUSEMENT ÉPICÉ!

Une seule bouchée de croustilles CHEETOS® Soufflés Enflammé peut donner lieu à des comportements bizarres : 

1. De l'euphorie pour tout ce qui est fromagé! 
2. Des pensées continuelles pour cette sensation de picotement sur la langue dont vous raffolez!
","SEMOULE DE MAÏS ENRICHIE (SEMOULE DE MAÏS, FER, NIACINE, THIAMINE, RIBOFLAVINE, ACIDE FOLIQUE), HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE, SEL, SUCRE, GLUTAMATE MONOSODIQUE, EXTRAIT DE LEVURE, ACIDE CITRIQUE, PROTÉINE DE MAÏS HYDROLYSÉE, COLORANT, FROMAGE CHEDDAR EN POUDRE, SUBSTANCES LAITIÈRES MODIFIÉES, POUDRE D'OIGNON, POUDRE D'AIL, PHOSPHATE DE SODIUM, ACÉTATE DE SODIUM, INOSINATE DISODIQUE, GUANYLATE DISODIQUE, ACIDE ACÉTIQUE, ACIDE LACTIQUE, ARÔME NATUREL).",CONTIENT DES INGRÉDIENTS DU LAIT.,Teneur par 50 g portion,"- Calories  270 |
- Lipides   16 g | 25 % 
-- Saturés   2.5 g | 14 %
 -- + Trans   0.2 g |
- Cholestérol   0 mg | 0 %
- Sodium   530 mg | 22 %
- Glucides   29 g | 9 % 
- Fibres  0 g | 3 % 
- Sucres 1 g
- Protéines 2 g
- Vitamine A | 0 %
- Vitamine C | 2 %
- Calcium | 2 %
- Fer | 4 %
- Thiamin | 8 %
- Riboflavin | 10 %
-Niacine | 6%
- Folate | 10 %
"
5521,Products,Grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés,https://www.cheetos.ca/fr/products/cheetos<sup>®</sup>-soufflés-grignotines-à-saveur-de-fromage,Cheetos Puffs.png,Detail Cheetos Puffs.png,<p>Vous avez envie&nbsp;à saveur de fromage? Succombez au goût extrêmement fromagé des grignotines&nbsp;à saveur de fromage Cheetos&reg; Soufflés! Remplissez votre garde-manger de grignotines&nbsp;à saveur de fromage Cheetos&reg; Soufflés qui fondent dans la bouche et voyez à quel point vos soirées en famille peuvent être amusantes.</p>,"Semoule De Mais Enrichie (Semoule De Mais, Fer, Niacine, Thiamine, Riboflavine, Acide Folique), Huile Vegetale, Assaisonnement (Lactoserum, Fromage Cheddar, Huile Vegetale, Maltodextrine De Mais, Sel, Concentre Proteique De Lactoserum, Glutamate Monosodique, Aromes Naturel Et Artificiel, Acide Lactique, Acide Citrique, Colorant), Sel. ",CONTIENT DES INGRÉDIENTS DU LAIT.,Teneur par 50 g portion,"- Calories 280 |
- Lipides 18 g | 28 %
 -- Saturés 3 g  |15 %
 -- + Trans 0.2  
- Cholestérol 5 mg | 1 %
- Sodium 490 mg | 20 %
- Glucides 27 g | 9 %
 -- Fibres 0 g | 0 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 4 %
- Thiamin | 8 %
- Riboflavin | 10 %
- Folate | 20 %
"
6681,Products,"Grignotines à saveur de fromage CHEETOS<sup>®</sup> Soufflés Cheddar
blanc",https://www.cheetos.ca/fr/products/cheetos<sup>®</sup>-soufflés-grignotines-à-saveur-de-fromage-cheddar-blanc,Cheetos Puffs White Cheddar.png,Detail Cheetos Puffs White Cheddar.png,<p>Vous avez envie&nbsp;à saveur de fromage? Succombez au goût extrêmement fromagé des grignotines à saveur de fromage Cheetos&reg; Soufflés Cheddar blanc!</p><p>Chester Cheetah&reg; vous offre une autre&nbsp;à saveur de fromage sur vos grignotines Cheetos&reg; Soufflés préférées qui fondent dans la bouche. Remplissez votre garde-manger de grignotines Soufflés originaux et de nouveaux Soufflés au cheddar blanc et soyez prêts pour vos soirées de plaisir en famille!</p><p>Attention! À grignoter avec prudence : on dit que les grignotines&nbsp;à saveur de fromage Cheetos&reg; Soufflés Cheddar blanc sont dangereusement fromagées&reg;!</p>,"SEMOULE DE MAÏS ENRICHIE (SEMOULE DE MAÏS, FER, NIACINE, THIAMINE, RIBOFLAVINE, ACIDE FOLIQUE), HUILE VÉGÉTALE, ASSAISONNEMENT (INGRÉDIENTS LAITIERS MODIFIÉS, FROMAGE CHEDDAR, HUILE VÉGÉTALE, MALTODEXTRINE DE MAÏS, COLORANT, SEL, PHOSPHATE DISODIQUE, GLUTAMATE MONOSODIQUE, ACIDE LACTIQUE, ACIDE CITRIQUE*, ACIDE ACÉTIQUE*, ARÔMES NATUREL ET ARTIFICIEL), SEL. 
*AGENT ACIDIFIANT",CONTIENT DES INGRÉDIENTS DU LAIT.,Teneur par 80 g portion,"- Calories  450 |
- Lipides 29 g | 45 %
 -- Saturés 4.5 g | 24 %
 -- + Trans 0.3 g 
- Cholestérol 5 mg | 2 %
- Sodium 740 mg | 31 %
- Glucides 43 g |14 %
 -- Fibres 1 g | 4 %
 -- Sucres 3 g 
- Protéines 4 g 
- Vitamine A | 0 %
- Vitamine C |  0 %
- Calcium | 4 %
- Fer | 8 %
- Thiamine | 10 %
- Riboflavine | 15 %
- Niacine | 10 %
- Folate | 30 %
"
5520,Products,Grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup>,https://www.cheetos.ca/products/cheetos®-puffs-cheese-flavoured-snacks,Cheetos Crunchy.png,Detail Cheetos Crunchy Cheese.png,"Si vous êtes prêt à offrir une grignotine dangereusement fromagée® à votre famille lors de votre prochaine soirée de plaisirs, essayez les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup>! Elles sont faites pour être partagées! La texture croquante audacieuse et le vrai fromage des grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> s’unissent ici pour vous offrir ce goût fromagé et ce croquant dont vous raffolez! Attention! À grignoter avec prudence : les grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> sont dangereusement fromagées®, délicieusement croquantes et offrent juste la bonne dose de saveur intense que vous adorez.","Semoule De Mais Enrichie (Semoule De Mais, Fer, Niacine, Thiamine, Riboflavine, Acide Folique), Huile Vegetale, Assaisonnement (Lactoserum, Fromage Cheddar, Huile Vegetale, Maltodextrine De Mais, Sel, Concentre Proteique De Lactoserum, Glutamate Monosodique, Aromes Naturel Et Artificiel, Acide Lactique, Acide Citrique, Colorant), Sel.",CONTIENT DES INGRÉDIENTS DU LAIT.,Teneur par 50 g portion,"- Calories  280 |
- Lipides   18 g | 28 % 
-- Saturés   2.5 g | 14 %
 -- + Trans   0.3 g
- Cholestérol   0 mg | 0 %
- Sodium   440 mg | 18 %
- Glucides   30 g | 9 % 
- Fibres   1 g | 3 % 
- Sucres   1 g
- Protéines   3 g
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 6 %
- Thiamin | 4 %
- Riboflavin | 4 %
- Folate | 10 %
"
5523,Products,Grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño,https://www.cheetos.ca/fr/products/cheetos<sup>®</sup>-croquant-grignotines-à-saveur-de-fromage-cheddar-jalapeño,Cheetos Crunchy Cheddar Jalapeno.png,Detail Cheetos Crunchy Cheddar Jalapeno.png,"<p>Enfin! Voici réunis la texture croquante et le goût fromagé dont vous raffolez et la saveur épicée du jalapeño dans les grignotines&nbsp;à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño. Chester Cheetah&reg; vous met au défi d'enflammer vos papilles avec ces grignotines fromagées. Allez-y, tous les jeunes branchés le font. Attention! À grignoter avec prudence : les grignotines&nbsp;à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Cheddar Jalapeño sont dangereusement fromagées&reg;, délicieusement croquantes et juste assez épicées.</p>","Semoule De Mais Enrichie (Semoule De Mais, Fer, Niacine, Thiamine, Riboflavine, Acide Folique), Huile Vegetale, Assaisonnement (Fromage Cheddar, Sel, Babeurre, Lactoserum, Fromage Romano, Glutamate Monosodique, Concentre Proteique De Lactoserum, Oignon En Poudre, Sucre, Amidon De Mais, Huile Vegetale, Aromes Naturel Et Artificiel, Maltodextrine De Mais, Amidon De Mais Modifie, Dextrose, Epices, Piment Jalapeno, Poudre D'Ail, Colorant, Acide Citrique, Acide Malique, Acide Lactique, Lait Ecreme, Inosinate Disodique, Guanylate Disodique), Sel.",CONTIENT DES INGRÉDIENTS DU LAIT.,Teneur par 50 g portion,"- Calories 280 |
- Lipides 18 g | 28 %
 -- Saturés 3 g | 15 %
 -- + Trans 0.3 g 
- Cholestérol 5 mg | 1 %
- Sodium 520 mg | 22 %
- Glucides 27 g | 9 %
 -- Fibres 1 g | 3 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 2 %
- Fer | 6 %
- Thiamin | 2 %
- Riboflavin | 0 %
- Folate | 10 %
"
5736,Products,Grignotines à saveur de fromage CHEETOS CROQUANT<sup>®</sup> Enflammé,https://www.cheetos.ca/fr/products/grignotines-à-saveur-de-fromage-cheetos<sup>®</sup>-croquant<sup>®</sup>-enflammé,Cheetos Crunchy Flamin Hot.png,Detail Cheetos Crunchy Flamin Hot.png,<p>La SAVEUR FROMAGÉE ET CROQUANTE dont vous raffolez avec une BONNE DOSE DE PIQUANT.&nbsp; ATTENTION! Le contenu de ce sac est DANGEREUSEMENT FROMAGÉ&reg;* et DÉLICIEUSEMENT ÉPICÉ! Une seule bouchée de croustilles CHEETOS&reg; ENFLAMMÉ peut donner lieu à des comportements bizarres :</p><p>1. De l&rsquo;euphorie pour tout ce qui est fromagé!<br />2. Des pensées continuelles pour cette sensation de picotement sur la langue dont vous raffolez!</p>,"SEMOULE DE MAÏS ENRICHIE (SEMOULE DE MAÏS, FER, NIACINE, THIAMINE, RIBOFLAVINE, ACIDE FOLIQUE), HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, SEL, SUCRE, GLUTAMATE MONOSODIQUE, EXTRAIT DE LEVURE, LACTOSÉRUM, ACIDE CITRIQUE, COLORANT, HUILE VÉGÉTALE, FROMAGE CHEDDAR, OIGNON EN POUDRE, LAIT ÉCRÉMÉ, POUDRE D'AIL, ARÔME NATUREL, ACÉTATE DE SODIUM, ACIDE ACÉTIQUE, INOSINATE DISODIQUE, GUANYLATE DISODIQUE), SEL.",CONTIENT DES INGREDIENTS DU LAIT.,Teneur par 50 g portion,"- Calories 290 |
- Lipides 19 g 30 %
 -- Saturés 3 g 
 -- + Trans 0.2 g 14 %
- Cholestérol 5 mg 1 %
- Sodium 450 mg 19 %
- Glucides 27 g 9 %
 -- Fibres 1 g 3 %
 -- Sucres 1 g 
- Protéines 2 g 
- Vitamine A  0 %
- Vitamine C  0 %
- Calcium  0 %
- Fer  6 %"
6711,Products,Grignotines à saveur de fromage Simply CHEETOS CROQUANT<sup>®</sup> Cheddar blanc,https://www.cheetos.ca/fr/products/grignotines-%C3%A0-saveur-de-fromage-simply-cheetos-croquant%C2%AE-cheddar-blanc,Simply Cheetos Crunchy White Cheddar.png,Detail Simply Cheetos Crunchy White Cheddar.png,"<p>Nos collations SIMPLY sont faites avec des ingr&eacute;dients que vous pouvez savourer l'esprit tranquille, et vous sont offertes par les marques que vous aimez. Ces produits sont SIMPLEMENT D&Eacute;LICIEUX.</p>","SEMOULE DE MAÏS ENRICHIE (SEMOULE DE MAÏS, FER, NIACINE, THIAMINE, RIBOFLAVINE, ACIDE FOLIQUE),HUILE VÉGÉTALE, ASSAISONNEMENT (FROMAGE CHEDDAR, LACTOSÉRUM, MALTODEXTRINE, CRÈMESURE, SEL MARIN, PHOSPHATE DISODIQUE, LEVURE TORULA, ACIDE LACTIQUE, ACIDE CITRIQUE [AGENTACIDIFIANT], ARÔME NATUREL), SEL MARIN.",CONTIENT DES INGREDIENTS DU LAIT.,Teneur par 50 g portion,"-- Calories 280 |
- Lipides 18 g | 28 %
-- Saturés 2.5 g  | 14 %
-- + Trans 0.2 g |
- Cholestérol 5 mg | 2 %
- Sodium 370 mg | 15 %
- Glucides  27 g | 9 %
- Fibre  1 g | 4 %
- Sucres 2 g
- Protéines | 3 g
- Vitamine A | 2 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 6 %
- Thiamin | 6 %
- Rivoflavin | 6 %
- Niacin | 2 %
- Folate | 25 %
"
6701,Products,Grignotines à saveur de fromage Simply CHEETOS<sup>®</sup> Souffles Cheddar blanc,https://www.cheetos.ca/fr/products/grignotines-%C3%A0-saveur-de-fromage-simply-cheetos%C2%AE-souffl%C3%A9s-cheddar-blanc,Simply Cheetos White Cheddar.png,Detail Simply Cheetos Puffs White Cheddar.png,"<p>Nos collations SIMPLY sont faites avec des ingr&eacute;dients que vous pouvez savourer l'esprit tranquille, et vous sont offertes par les marques que vous aimez. Ces produits sont SIMPLEMENT D&Eacute;LICIEUX.</p>","SEMOULE DE MAÏS ENRICHIE (SEMOULE DE MAÏS, FER, NIACINE, THIAMINE, RIBOFLAVINE, ACIDE FOLIQUE), HUILE VÉGÉTALE, ASSAISONNEMENT (FROMAGE CHEDDAR, LACTOSÉRUM, MALTODEXTRINE, CRÈME SURE, SEL MARIN, PHOSPHATE DISODIQUE, LEVURE TORULA, ACIDE LACTIQUE, ACIDE CITRIQUE [AGENTACIDIFIANT], ARÔME NATUREL), SEL MARIN.",,Teneur par 50 g portion,"- Calories 270 |
- Lipides 17 g | 26 %
-- Saturés 2.5 g | 13 %
-- + Trans 0.1 g
- Cholestérol 5 mg | 2 %
- Sodium 490 mg | 20 %
- Glucides 28 g | 9 %
- Fibre 1 g | 4 %
- Sucres 2 g
- Protéines 4 g
- Vitamine A | 2 %
- Vitamine C | 0 % 
- Calcium | 6 %
- Fer | 6 %
- Thiamin | 6 %
- Rivoflavin | 6 %
- Niacin | 2 %
- Folate | 25 %
"
6566,Products,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange classique,https://www.cheetos.ca/fr/products/emballages-de-produits-assortis-frito‑lay<sup>®</sup>-mélange-classique,Frito Lay Variety Pack Classic Mix.png,Detail Variety Pack Classic Mix.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Étant donné que les goûts varient d'une personne à l'autre, nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations.&nbsp;</p><p>Notre Mélange classique contient quelques-unes des collations Frito-Lay&reg; préférées des Canadiens, dont les croustilles Lay's&reg; Classique, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Assaisonnées et les grignotines à saveur de fromage Cheetos&reg; Soufflés. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'une poignée qui le rend plus facile à transporter et à ranger.&nbsp;</p><p>Les emballages de produits assortis Frito-Lay&reg; se prêtent à de nombreuses occasions. Faites-en provision pour les collations après l'école, les événements sportifs, les escapades routières et les collations à emporter.</p>",,,,
6576,Products,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange de saveurs,https://www.cheetos.ca/fr/products/emballages-de-produits-assortis-frito‑lay<sup>®</sup>-mélange-de-saveurs,Frito Lay Variety Pack Flavour Mix.png,Detail Variety Pack Flavour Mix.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations. Notre Mélange de saveurs est celui qui regroupe la plus grande variété de notre portefeuille dans les saveurs préférées des Canadiens! Cet emballage contient les croustilles Lay's&reg; Ketchup, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Bar-B-Q, les grignotines à saveur de fromage Cheetos Croquant&reg; et le maïs soufflé Smartfood&reg; Cheddar blanc. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'une poignée qui le rend plus facile à transporter et à ranger.&nbsp;</span></p>",,,,
6586,Products,Emballages de produits assortis Frito‑Lay<sup>®</sup> Mélange intense,,Variety Pack Bold Mix.png,Detail Variety Pack Bold Mix.png,"Offrez de la variété avec les emballages de produits assortis Frito-Lay<sup>®</sup>! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay<sup>®</sup> qui offrent des produits répondant aux différents besoins de collations.

Le Mélange intense regroupe nos saveurs les plus audacieuses et les plus intenses, et une variété de saveurs préférées des Canadiens! Cet emballage contient les croustilles assaisonnées Lay’s<sup>®</sup> Cheddar Jalapeño, les chips tortilla aromatisées Doritos<sup>®</sup> Piment infernal!<sup>®</sup>, les croustilles Ruffles<sup>®</sup> Enflammé Saveur Bar-B-Q et les grignotines à saveur de fromage Cheetos Croquant<sup>®</sup> Cheddar Jalapeño. Cet emballage contient 18 sacs de 28 g parfaits pour les collations à emporter! 

Les emballages de produits assortis Frito-Lay<sup>®</sup> sont parfaits pour diverses occasions. Faites-en provision pour vos événements sportifs et vos escapades en voiture, et pour prendre la collation peu importe où vous êtes.
",,,,