ID,Category,Name,Link,Image,Description,Background Color,Ingredients,Alert,Portion,Nutrition Facts,Order,Featured,Featured_image
,Chips tortilla DORITOS<sup>®</sup>,Collations de maïs aromatisées DORITOS 3D<sup>_MC_</sup> Ultracroquantes Chili et fromage nacho ,,3d Crunch Doritos.png,"<p>Nous avons donné une toute nouvelle dimension à la forme de triangle emblématique de Doritos<sup>®</sup> avec les collations de maïs Doritos 3D<sup>_MC_</sup> Ultracroquantes! <br>

Ces collations ne sont pas comme les autres chips tortilla Doritos<sup>®</sup>. Elles sont ultracroquantes et offrent une saveur intense et unique de chili et fromage nacho. Vous en doutez? Une seule bouchée vous convaincra!
</p>",,"FARINE DE MAÏS, HUILE VÉGÉTALE, ASSAISONNEMENT (SUBSTANCES LAITIÈRES MODIFIÉES, FROMAGE

CHEDDAR, SEL, ÉPICES, MALTODEXTRINE, GLUTAMATE MONOSODIQUE, FROMAGE ROMANO, POUDRE D'OIGNON, HUILE VÉGÉTALE, POUDRE DE TOMATES, ACIDE CITRIQUE, POUDRE D'AIL, CHLORURE DE POTASSIUM, PROTÉINE DE MAÏS HYDROLYSÉE, COLORANT, INOSINATE DISODIQUE, GUANYLATE DISODIQUE, ARÔMES NATUREL ET ARTIFICIEL), SEL, BICARBONATE DE SODIUM, MONOGLYCÉRIDES, ASPARAGINASE.",CONTIENT DES INGRÉDIENTS DU LAIT.,Pour 47 croustilles (50g),"- Calories  240 |
- Lipides 24 g | 37%
 -- Saturés 3.5 g | 18%
 -- + Trans 0.1 g |
- Cholestérol 5 mg | 2%
- Sodium 380 mg |16%
- Glucides 31 g |10%
 -- Fibres 3 g | 12%
 -- Sucres 1 g |
- Protéines 4 g |
- Vitamine A | 0%
- Vitamine C | 2%
- Calcium | 6%
- Fer | 8%",,1,Doritos_3D_Banner_FR.jpg
7636,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> Enflammé Nacho ,https://www.doritos.ca/fr/products/chips-tortilla-aromatisées-doritos®-enflammé®-nacho,Flamin_hot_Doritos.png,"<p>La saveur originale, maintenant piquante. Les nouvelles chips tortilla aromatisées Doritos&reg; Enflammé Nacho.</p>",,"MAÏS CHOISI, HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, INGRÉDIENTS LAITIERS MODIFIÉS, SEL, FROMAGE CHEDDAR, HUILE VÉGÉTALE, GLUTAMATE MONOSODIQUE, FROMAGE ROMANO, OIGNON EN POUDRE, ACIDE CITRIQUE, COLORANT, PHOSPHATE DISODIQUE, ÉPICES, DEXTROSE, POUDRE DE TOMATES, CHLORURE DE POTASSIUM, ACIDE LACTIQUE, SUCRE, POUDRE D'AIL, POUDRE DE POIVRONS ROUGES ET VERTS, INOSINATE DISODIQUE, GUANYLATE DISODIQUE, ARÔMES NATUREL ET ARTIFICIEL), HYDROXYDE DE CALCIUM.",CONTIENT DES INGRÉDIENTS DU LAIT.,Pour 21 croustilles (50g),"- Calories  260 |
- Lipides 14 g | 22%
 -- Saturés 2 g | 10%
 -- + Trans 0 g |
- Cholestérol 0 mg | 0%
- Sodium 330 mg |14%
- Glucides 32 g |11%
 -- Fibres 2 g | 8%
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A | 4%
- Vitamine C | 0%
- Calcium | 6%
- Fer | 4%",,,
7646,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup>,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup> NACHO ÉCLATÉ<sup>_MC_</sup>,https://www.doritos.ca/fr/products/doritos-dinamita®-chips-tortilla-fromage-nacho-et-picoso,Nacho_Rolled_Tortilla_Dinamita.png,<p>&nbsp;Elles sont roulées pour offrir une explosion de saveur!&nbsp;</p>,,"Mais Choisi, Huile Vegetale, Assaisonnement (Maltodextrine De Mais, Sel, Lactoserum, Glutamate Monosodique, Oignon En Poudre, Aromes Naturel Et Artificiel, Huile Vegetale, Babeurre, Fromage Cheddar, Formage Romano, Poudre De Tomates, Acide Citrique, Epices, Dextrose, Lactose, Poudre D'Ail, Sucre, Colorant, Acide Lactique, Poudre De Poivrons Rouges Et Verts, Caseinate De Sodium, Lait Ecreme, Inosinate Disodique, Guanylate Disodique), Asparaginase, Hydroxyde De Calcium.",Contient Des Ingredients Du Lait.,Teneur par 80 g portion,"- Calories  420 |
- Lipides 22 g | 33%
 -- Saturés 3 g |16%
 -- + Trans 0.2 g |
- Cholestérol 0 mg | 0%
- Sodium 530 mg | 22%
- Glucides 50 g |17%
 -- Fibres 4 g | 15%
 -- Sucres 1 g |
- Protéines 5 g |
- Vitamine A | 0%
- Vitamine C | 0%
- Calcium | 8%
- Fer | 6%
",,,
7656,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup>,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup> Chili et lime épicés,https://www.doritos.ca/fr/products/doritos-dinamita®-chips-tortilla-chile-limón,Limon_Rolled_Tortilla_Dinamita.png,<p>&nbsp;Elles sont roulées pour offrir une explosion de saveur!&nbsp;</p>,,"Mais Choisi, Huile Vegetale, Assaisonnement (Sel, Maltodextrine De Mais, Acide Citrique, Sucre, Glutamate Monosodique, Proteine De Mais Hydrolysee, Colorant, Extrait De Levure Autolysee, Acide Acetique, Acetate De Sodium, Fromage Cheddar, Arome Naturel, Oignon En Poudre, Matiere Seche De Sirop De Mais, Lactoserum, Fromage Romano, Babeurre, Concentre Proteique De Lactoserum, Poudre D'Ail, Inosinate Disodique, Guanylate Disodique), Asparaginase, Hydroxyde De Calcium. 	",Contient Des Ingredients Du Lait.	,Teneur par 80 g portion,"- Calories 420 |
- Lipides 21 g | 33%
 -- Saturés 3 g |16%
 -- + Trans 0.2 g |
- Cholestérol 0 g |
- Sodium 540 mg | 22%
- Glucides 50 g |17%
 -- Fibres 4 g |14%
 -- Sucres 1 g |
- Protein 5 g |
- Vitamine A | 0%
- Vitamine C | 0%
- Calcium | 8%
- Fer | 6%
",,,
5700,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> Jalapeño & cheddar,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-jalapeño-cheddar,Jalapegno_cheddar_doritos.png,<p>Le goût saisissant des chips tortilla aromatisées Doritos&reg; Jalapeño &amp; cheddar est indéniablement délicieux et combine à la perfection la saveur douce du cheddar et le goût épicé des piments jalapeño dans chaque bouchée. Préparez-vous à l'explosion qui se déclenchera avec ces chips tortilla plus audacieuses qui ont été créées pour ajouter du piquant fromagé à votre journée.</p>,,"Maïs Choisi, Huile Végétale, Assaisonnement (Matière Sèche Du Fromage Cheddar, Sel, Poudre De Lactosérum, Matière Sèche Du Babeurre, Amidon De Maïs, Glutamate Monosodique, Matière Sèche Du Fromage Romano, Concentré Protéique De Lactosérum, Sucre, Oignon En Poudre, Huile Végétale, Épices, Arômes Naturel Et Artificiel, Piment Jalapeño, Maltodextrine De Maïs, Amidon De Maïs Modifié, Poudre D’ail, Dextrose, Acide Citrique, Acide Malique, Colorant, Acide Lactique, Inosinate Disodique, Guanylate Disodique), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait. Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 260 |
- Lipides 13 g | 21 %
 -- Saturés 2 g |10 %
 -- + Trans 0g | 
- Cholestérol 5 mg | 1 %
- Sodium 330 mg |14 %
- Glucides 31 g |10 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g |
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
",,,
5702,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> Nacho épicé,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-nacho-épicé,spicy_nacho_doritos.png,<p>Le riche mélange d'épices et de fromage des chips tortilla aromatisées Doritos&reg; Nacho épicé vous offre une expérience de collation audacieuse. Les chips Doritos&reg; Nacho épicé sont faites d'un mélange unique de fromage et d'épices relevées qui offre cette surprenante et inoubliable saveur.</p>,,"Maïs Choisi, Huile Végétale, Assaisonnement (Maltodextrine De Maïs, Sel, Lactosérum, Huile Végétale, Glutamate Monosodique, Babeurre, Fromage Romano, Fromage Cheddar, Amidon De Maïs, Oignon En Poudre, Poudre D’ail, Dextrose, Arômes Naturel Et Artificiel, Épices, Lactose, Caséinate De Sodium, Colorant, Acide Citrique, Sucre, Acide Lactique, Lait Écrémé, Inosinate Disodique, Guanylate Disodique), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait. Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 260 |
- Lipides 13 g | 21 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 330 mg |14 %
- Glucides 32 g | 11 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
",,,
5698,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> BBQ éclaté,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-bbq-éclaté,bold_BBQ_doritos.png,<p>Déclenchez une explosion de saveur renversante avec les chips tortilla aromatisées Doritos&reg; BBQ éclaté. Notre saveur audacieuse de barbecue a été créée à partir d'un mélange parfaitement équilibré de sucré-salé qui délectera vos papilles à chaque bouchée croquante.</p>,,"Maïs Choisi, Huile Végétale, Assaisonnement (Sucre, Sel, Dextrose, Cassonade, Oignon En Poudre, Glutamate Monosodique, Matière Sèche De La Mélasse, Épices, Huile Végétale, Amidon De Maïs, Matière Sèche De Sirop De Maïs, Maltodextrine De Maïs, Poudre De Tomates, Extrait De Levure Autolysée, Colorant, Amidon De Maïs Modifié, Acide Citrique, Caséinate De Sodium, Arômes Naturel Et Artificiel, Citrate De Sodium, Inosinate Disodique, Guanylate Disodique), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait. Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 260 |
- Lipides 13 g | 20 %
 -- Saturés 1.5 g |10 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 220 mg | 9 %
- Glucides 32 g | 11 %
 -- Fibres 2 g | 9 %
 -- Sucres 2 g |
- Protéines 3 g |
- Vitamine A | 2 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 4 %
",,,
5690,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> Fromage nacho,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-fromage-nacho,Nacho_cheese_doritos.png,<p>Croquez dans les chips tortilla aromatisées Doritos&reg; Fromage nacho au goût exquis de fromage et à la texture croustillante qui raviront vos papilles. Chaque bouchée croquante de chips tortilla Doritos&reg; Fromage nacho se transforme en explosion de saveur audacieuse et fromagée en bouche. Transformez chaque événement en une audacieuse expérience de collation!</p>,,"Maïs Choisi, Huile Végétale, Assaisonnement (Maltodextrine De Maïs, Sel, Fromage Cheddar, Lactosérum, Glutamate Monosodique, Babeurre, Fromage Romano, Concentré Protéique De Lactosérum, Oignon En Poudre, Huile Végétale, Farine De Maïs, Arômes Naturel Et Artificiel, Dextrose, Poudre De Tomates, Lactose, Épices, Colorant, Acide Lactique, Acide Citrique, Sucre, Poudre D’ail, Lait Écrémé, Poudre De Poivrons Rouges Et Verts, Inosinate Disodique, Guanylate Disodique), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait. Sans gluten.,Teneur par 50 g portion (21 croustilles),"- Calories 260 |
- Lipides 13 g | 21 %
 -- Saturés 2 g | 10 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 370 mg |16 %
- Glucides 32 g |11 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A | 0 %
- Vitamine C | 0 %
- Calcium | 6 %
- Fer | 4 %
",,,
5696,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> COOL RANCH<sup>®</sup>,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-cool-ranch®,cool_ranch_doritos.png,"<p>Les chips tortilla aromatisées Doritos&reg; Cool Ranch&reg; sont remplies de saveurs audacieuses et relevées. Une explosion de saveur acidulée vous attend dans chaque bouchée grâce aux saveurs d'oignon, d'ail, de tomates et d'épices qui s'unissent pour créer ce mélange Cool Ranch&reg; crémeux et audacieux.</p>",,"Maïs Choisi, Huile Végétale, Assaisonnement (Ingrédients Laitiers Modifiés, Sel, Amidon De Maïs, Poudre De Tomates, Huile Végétale, Podre D'Oignon, Sucre, Poudre D’ail, Glutamate Monosodique, Maltodextrine,Fromage Cheddar, Dextrose, Acide Malique, Matière Sèche De Sirop De Maïs, Acétate De Sodium, Colorant,  Épices, Acide Citrique, Inosinate Disodique, Guanylate Disodique, Arômes Naturel Et Artificiel), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait.,Teneur par 50 g portion (21 croustilles),"- Calories 250 |
- Lipides 13 g | 20 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Glucides 32 g | 11 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g |
- Protéines 3 g |
- Vitamine A  | 0 %
- Vitamine C  | 0 %
- Calcium | 4 %
- Fer | 4 %
",,,
5694,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> Fromage mordant,https://www.doritos.ca/fr/products/chips-tortilla-dortitos®-fromage-mordant,zesty_nacho_doritos.png,"<p>Avez-vous vécu l'expérience de saveur piquante des chips tortilla aromatisées Doritos&reg; Fromage mordant? Créée à partir d'un mélange de saveurs de parmesan et de cheddar, chaque chips offre l'expérience fromagée par excellence et une délicieuse finale acidulée.</p>",,"Maïs Choisi, Huile Végétale, Assaisonnement (Maltodextrine De Maïs, Poudre De Lactosérum, Sel, Glutamate Monosodique, Oignon En Poudre, Sucre, Fromages Cheddar Et Parmesan, Matière Sèche De Sirop De Maïs, Arômes Naturel Et Artificiel, Colorant, Poudre D’ail, Acide Citrique, Caséinate De Sodium, Extrait De Levure Autolysée, Inosinate Disodique, Guanylate Disodique), Hydroxyde De Calcium.",Contient Des Ingrédients Du Lait. Sans gluten.,Teneur par 50 g portion (19 croustilles),"- Calories 270 |
- Lipides 15 g | 24 %
 -- Saturés 2 g | 10 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 390 mg | 16 %
- Glucides 30 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A  | 0 %
- Vitamine C  / 0 %
- Calcium | 6 %
- Fer | 4 %
",,,
5692,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla aromatisées DORITOS<sup>®</sup> PIMENT INFERNAL!<sup>®</sup>,https://www.doritos.ca/fr/products/chips-tortilla-doritos®-piment-infernal®,sweet_chili_doritos.png,<p>Vivez une expérience de saveurs audacieuses avec les chips tortilla aromatisées Doritos&reg; Piment Infernal!&reg; Savourez la texture croquante et le goût sucré de ces chips tortilla et laissez la saveur relevée vous surprendre. Ces chips tortilla épicées au goût sucré-salé enchanteront vos papilles. Vous aurez hâte de les offrir à la famille et aux amis lors de votre prochaine rencontre.</p>,,"Maïs choisi, huile végétale, assaisonnement (sel, sucre, protéines de soja et de maïs hydrolysées, glutamate monosodique, maltodextrine de maïs, acétate de sodium, oignon en poudre, acide acétique, matière sèche de sauce soja [contient du blé et du soja], fructose, poudre d’ail, épice [y compris de la poudre de chili] , extrait de levure, acide malique, arôme, inosinate disodique, guanylate disodique, sucralose [2,1 mg/50 g]), hydroxyde de calcium.",Contient des ingrédients du blé et de soja.,Teneur par 50 g portion (21 croustilles),"- Calories 260 |
- Lipides 13 g | 20 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |
- Cholestérol 0 mg | 0 %
- Sodium 520 mg | 22 %
- Glucides 32 g  | 11 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g |
- Protéines 3 g |
- Vitamine A | 2 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 4 %
",,,
6141,Chips tortilla DORITOS<sup>®</sup>,Chips tortilla Simply DORITOS<sup>®</sup> Cheddar blanc,https://www.doritos.ca/fr/products/simplement-doritos®-chips-tortilla-cheddar-blanc,simply_doritos.png,"<p>Plaisir et BON GOÛT! Sans colorant artificiel, arôme artificiel ou agent de conservation. En termes simples, nos collations Simplement sont celles que vous aimerez partager avec les personnes que vous aimez le plus! Ce produit est fait avec du vrai fromage pour une saveur simplement délicieuse.</p>",,"MAÏS BIOLOGIQUE, HUILE DE TOURNESOL BIOLOGIQUE EXTRAITE PAR PRESSION, ASSAISONNEMENT (FROMAGE CHEDDAR BIOLOGIQUE, MALTODEXTRINE DE MAÏS BIOLOGIQUE, SEL MARIN, BABEURRE BIOLOGIQUE, POUDRE DE TOMATES BIOLOGIQUE, HUILE DE TOURNESOL BIOLOGIQUE EXTRAITE PAR PRESSION, ARÔME NATUREL, OIGNON EN POUDRE BIOLOGIQUE, FROMAGE ROMANO BIOLOGIQUE, BEURRE BIOLOGIQUE, LAIT ÉCRÉMÉ BIOLOGIQUE, ÉPICES BIOLOGIQUES, ACIDE CITRIQUE [AGENT ACIDIFIANT], POUDRE D’AIL BIOLOGIQUE, CRÈME BIOLOGIQUE, ACIDE LACTIQUE),HYDROXYDE DE CALCIUM.",CONTIENT DES INGRÉDIENTS DU LAIT.,pour 21 croustilles (50 g),"- Calories 260 |
- Lipides 14 g | 21 %
 -- saturés 1.5 g |
 -- trans 0 g | 9 %
- Cholestérol 5 mg |1 %
- Sodium 290 mg |12 %
- Glucides 30 g |10 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g |
- Protéines 4 g |
- Vitamine A | 4 %
- Vitamine C | 0 %
- Calcium | 4 %
- Fer | 4 %
",,,
7751,Emballage de produits assortis,DORITOS<sup>®</sup> Favoris,https://www.doritos.ca/fr/products/doritos®-favoris,doritos-mix.png,"<p>Offrez de la variété avec les Doritos&reg; Favoris! Vos saveurs Doritos&reg; préférées vous sont maintenant offertes dans un seul même emballage pratique! Cet emballage contient 12 sacs de chips tortilla Doritos&reg; aux saveurs Fromage nacho, Piment infernal!&reg; et Fromage mordant. Offrez de la variété avec les Doritos&reg; Favoris!</p>",,,,,,,,
7761,Emballage de produits assortis,Emballage de produits assortis FRITO-LAY<sup>®</sup> Mélange classique,https://www.doritos.ca/fr/products/emballage-de-produits-assortis-frito‑lay®-mélange-classique,classic-mix-vp.png," <p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Étant donné que les goûts varient d'une personne à l'autre, nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations.&nbsp;</p><p >Notre Mélange classique contient quelques-unes des collations Frito-Lay&reg; préférées des Canadiens, dont les croustilles Lay's&reg; Classique, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Assaisonnées et les grignotines à saveur de fromage Cheetos&reg; Soufflés. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'une poignée qui le rend plus facile à transporter et à ranger.&nbsp;</p><p>Les emballages de produits assortis Frito-Lay&reg; se prêtent à de nombreuses occasions. Faites-en provision pour les collations après l'école, les événements sportifs, les escapades routières et les collations à emporter.</p>",,,,,,,,
7771,Emballage de produits assortis,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange de saveurs,https://www.doritos.ca/fr/products/emballages-de-produits-assortis-frito‑lay®-mélange-de-saveurs,Flavour_Mix_VP.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay&reg;! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay&reg; qui offrent des produits répondant aux différents besoins de collations.</span><br/><br /><span>Notre Mélange de saveurs est celui qui regroupe la plus grande variété de notre portefeuille dans les saveurs préférées des Canadiens! Cet emballage contient les croustilles Lay's&reg; Ketchup, les chips tortilla Doritos&reg; Fromage nacho, les croustilles Ruffles&reg; Bar-B-Q, les grignotines à saveur de fromage Cheetos Croquant&reg; et le maïs soufflé Smartfood&reg; Cheddar blanc. Cet emballage contient 20 sacs de 28 g parfaits pour les collations à emporter! De plus, l'emballage externe est muni d'une poignée qui le rend plus facile à transporter et à ranger.&nbsp;</span></p>",,,,,,,,
,Emballage de produits assortis,Emballages de produits assortis FRITO-LAY<sup>®</sup> Mélange intense,,Detail Variety Pack Bold Mix.png,"<p>Offrez de la variété avec les emballages de produits assortis Frito-Lay<sup>®</sup>! Tous les goûts sont dans la nature. C'est pourquoi nous avons créé les emballages de produits assortis Frito-Lay<sup>®</sup> qui offrent des produits répondant aux différents besoins de collations. Le Mélange intense regroupe nos saveurs les plus audacieuses et les plus intenses, et une variété de saveurs préférées des Canadiens! Cet emballage contient les croustilles assaisonnées Lay’s<sup>®</sup> Cheddar Jalapeño, les chips tortilla aromatisées Doritos<sup>®</sup> Piment infernal!<sup>®</sup>, les croustilles Ruffles<sup>®</sup> Enflammé Saveur Bar-B-Q et les grignotines à saveur de fromage Cheetos Croquant<sup>®</sup> Cheddar Jalapeño. Cet emballage contient 18 sacs de 28 g parfaits pour les collations à emporter! Les emballages de produits assortis Frito-Lay<sup>®</sup> sont parfaits pour diverses occasions. Faites-en provision pour vos événements sportifs et vos escapades en voiture, et pour prendre la collation peu importe où vous êtes.</p>",,,,,,,,