ID,Category,Name,Link,Image,Description,Ingredients,Alert,Portion,Nutrition Facts,Date,Product Image,Background Colour,Background Image,Claims,Font Colour,Order,Featured,Featured Image
4804,LAY'S STAX®,LAY'S STAX® Croustilles Original,https://www.lays.ca/fr/products/lays-stax®-croustilles-original,Lays_Stax_Original_163g.png,"Aucune saveur ne se compare au goût intemporel des croustilles Lay's Stax® Original.

Cette collation croustillante vous offre toute la saveur que vous recherchez. Vos papilles vous remercieront.

Alors, oubliez le bol. Détendez-vous et relaxez avec les croustilles Lay's Stax® Original.","Pommes de terre déshydratées, huile végétale, amidon de pomme de terre, farine de riz, mono et diglycérices, sel, sucre, lécithine de soja, dextrose, acide citrique.",Contient des ingrédients de soja. ,Teneur par 50 g portion (21 croustilles),"- Calories | 250 
- Lipides 14 g | 22 %
 -- saturés 2 g | 10 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 250 mg | 10 %
- Glucides 30 g | 10 %
 -- Fibres 2 g | 9 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 4 %
- Calcium | 2 %
- Fer | 2 %
",2016-02-25 12:09:49,Packshots_Stax-Original.jpg,#F8CE41,Background -  Product - STAX Original.png,Fabriqué au Canada | Sans Gluten,Black,STAX 1 ,0,
4805,LAY'S STAX®,LAY'S STAX® Croustilles assaisonnées Sel et vinaigre,https://www.lays.ca/fr/products/lays-stax®-croustilles-sel-et-vinaigre,Lays_Stax_SV_155g.png,"Tout est simple et amusant avec la touche relevée des croustilles Lay's Stax® Sel et vinaigre. Alors, plongez la main et découvrez toute leur saveur acidulée et piquante!","Pommes de terre déshydratées, huile végétale, assaisonement (sel, maltodextrine de maïs, acétate de sodium, acide acétique, lactose, arômes naturel et artificiel, sucre, acide citrique, glutamate monosodique, acide malique, lait écrémé, babeurre, inosinate disodique, guanylate disodique), amidon de pommes de terre, farine de riz, mono et diglycérides, sucre, lécithine de soja, dextrose, acide citrique.",Contient des ingrédients du lait et de soja. ,Teneur par 50 g portion (21 croustilles),"- Calories | 250 
- Lipides 13 g | 20 %
 -- saturés 2 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 510 mg | 21 %
- Glucides 31 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 4 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:09:53,Packshots_Stax-Salt and Vinegar.jpg,#4FA97A,Background -  Product - STAX Salt & Vinegar.png,Fabriqué au Canada | Sans Gluten,White,STAX 2,0,
4806,LAY'S STAX®,LAY'S STAX® Croustilles assaisonnées Cheddar,https://www.lays.ca/fr/products/lays-stax®-croustilles-cheddar,Lays_Stax_Cheddar_155g.png,"Les croustilles Lay's Stax® Cheddar contribuent parfaitement à la relaxation ultime. Leur incroyable texture croustillante vous fera assurément sourire. Allez-y, rendez cette journée mémorable.

Chaque  journée est encore meilleure avec le goût délicieux et crémeux des croustilles Lay's Stax® Cheddar! ","Pommes de terre déshydratées, huile végétale, assaisonnement (sel, maltodextrine de maïs, fromage cheddar, concentré protéique de lactorsérum, lactorsérum, glutamate monosodique, oignon en poudre, matière sèche de sirop de maïs, babeurre, acide citrique, arômes naturel et artificiel, colorant, acide lactique, épices, lactose, caséinate de sodium, lait écrémé, inosinate disodique, guanylate disodique), amidon de pommes de terre, farine de riz, mono et diglycérides, sucre, lécithine de soja, dextrose, acide citrique.",Contient des ingrédients du lait et de soja. ,Teneur par 50 g portion (21 croustilles),"- Calories | 260 
- Lipides 14 g | 21 %
 -- saturés 2 g | 10 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 360 mg | 15 %
- Glucides 30 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A |  0 %
- Vitamine C |  4 %
- Calcium | 2 %
- Fer | 2 %
",2016-02-25 12:09:58,Packshots_Stax-Cheddar.jpg,#DD592B,Background -  Product - STAX Cheddar.png,Fabriqué au Canada | Sans Gluten,White,STAX 3,0,
4807,LAY'S STAX®,LAY'S STAX® Croustilles assaisonnées Bar•B•Q,https://www.lays.ca/fr/products/lays-stax®-croustilles-bar•b•q,Lays_Stax_BBQ_155g_0.png,"Les croustilles Lay's Stax® Bar•B•Q offrent une saveur fumée qui éveillera assurément vos papilles et une texture croustillante unique qui ne laissera personne indifférent.

Alors, réunissez vos amis et dégustez-les!","Pommes, de terre déshydratées, guile végétale, assaisonnement (sucre, sel, maltodextrine de maïs, oignon en poudre, glutamate monosodique, matière sèche de sirop de maïs, poudre de tomates, protéine de maïs hydrolysée, arôme naturel, colorant, acide malique, acétate de sodium, acide acétique, épices, caséinate de sodium, acide citrique, inosinate disodique, guanylate disodique), amidon de pommes de terre, farine de riz, mono et diglycérides, sucre, lécithine de soja, dextrose, acide citrique. ",Contient des ingrédients du lait et de soja. ,Teneur par 50 g portion (21 croustilles),"- Calories | 250 
- Lipides 14 g | 21 %
 -- saturés 2 g | 10 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Glucides 31 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 3 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 4 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:10:32,Packshots_Stax-BBQ.jpg,#361E17,Background -  Product - STAX BBQ.png,Fabriqué au Canada | Sans Gluten,White,STAX 4,0,
4816,LAY'S STAX®,LAY'S STAX® Croustilles assaisonnées Crème sure et oignon,https://www.lays.ca/fr/products/lays-stax®-croustilles-crème-sure-et-oignon,Lays_Stax_SCO_155g.png,"Vous recherchez une saveur crémeuse et mordante? Vous avez trouvé. Les croustilles Lay’s Stax® Crème sure et oignon : la collation parfaite lorsque vous souhaitez prendre une pause.

Dégustez la saveur délicieusement mordante des croustilles Lay's Stax® Crème sure et d’oignon. ","Pommes de terre déshydratées, huile végétale, assaisonnement (sel, lait écrémé, oignon en poudre, dextrose, lactosérum, sucre, glutamate monosodique, amidon de maïs, crème sure, lactose, maltodextrine de maïs, arômes naturel et artificiel, acide malique, acide citrique, fromage cheddar, matière sèche de sirop de maïs, babeurre, colorant, inosinate disodique, guanylate disodique), amidon de pommes de terre, farine de riz, mono et diglycérides, sucre, lécithine de soja,, dextrose, acide citrique.",Contient des ingrédients du lait et de soja. ,Teneur par 50 g portion (21 croustilles),"- Calories 250 
- Lipides 13 g 21 %
 -- saturés 2 g 10 %
 -- trans 0 g 
- Cholestérol 0 mg 0 %
- Sodium 330 mg 14 %
- Glucides 30 g 10 %
 -- Fibres 2 g 8 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A  0 %
- Vitamine C  4 %
- Calcium  2 %
- Fer  2 %
",2016-02-25 12:11:15,Packshots_Sour-Cream.jpg,#18A556,Background -  Product - STAX Sour Cream.png,Fabriqué au Canada | Sans Gluten,White,STAX 5,0,
4792,LAY'S®,LAY'S® Croustilles Classique,https://www.lays.ca/fr/products/lays®-croustilles-classique,30015464_Lay%27s_Classic_235g_0.png,"<p>Toujours fraîches et délicieusement croquantes, les croustilles Lay&rsquo;s&reg; sont faites de pommes de terre spécialement sélectionnées qui répondent aux normes de qualité les plus strictes. Croustillantes et légères au goût, les croustilles Lay&rsquo;s&reg; Classique ont été fabriquées pour semer la joie, ce qui en fait la collation parfaite à partager. Que ce soit pour accompagner votre sandwich à la salade de poulet au bureau le midi ou pour offrir à vos invités, les croustilles Lay&rsquo;s&reg; Classique égaieront votre quotidien! Une collation classique dont raffolent les Canadiens!</p>","Pommes de terre spécialement sélectionnées, huile végétale, sel.",,Teneur par 50 g portion (36 croustilles),"- Calories | 280 
- Lipides 18 g | 28 %
 -- saturés 2 g | 10 %
 -- + Trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 0 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 0 %
- Fer | 4 %
",2016-02-25 11:54:47,Packshots_Classic.jpg,#F8CE41,Background -  Product - Classic.png,Fabriqué au Canada | Sans Gluten | Kasher | Sans arômes artificiels | Sans couleurs artificielles,Black,LAY'S 1,0,
4797,LAY'S®,LAY'S® Croustilles assaisonnées Ketchup,https://www.lays.ca/fr/products/lays®-croustilles-ketchup,30015466_Lays_Ketchup_235g_0.png,"<p>Les Canadiens en savent long sur le bon goût et ils raffolent de notre saveur Ketchup! C&rsquo;est la raison pour laquelle la combinaison de fraîcheur et d&rsquo;assaisonnement relevé de tomate des Lay&rsquo;s&reg; est devenue une tradition typiquement canadienne. À la prochaine occasion, offrez aux amis et à la famille ces croustilles croquantes et savoureuses auxquelles ils ne pourront résister!</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (sucre, sel, glutamate monosodique, lactose, acide acétique, acétate de sodium, poudre de légumes déshydratés [tomate, ail, oignon], maltodextrine de maïs, dextrose, arôme et arôme artificiel, acide citrique, acide malique, colorant, épice, inosinate disodique, guanylate disodique). ",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 260 
- Lipides 16 g | 25 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 430 mg | 18 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:01:52,Packshots_Ketchup.jpg,#B22F29,Background -  Product - Ketchup.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | ,White,LAY'S 3,0,
4800,LAY'S®,LAY'S® Croustilles assaisonnées Bar•B•Q,https://www.lays.ca/fr/products/lays®-croustilles-bar•b•q,30015463_Lay%27s_BBQ_235g_0.png,"<p>Avec leur mélange secret de savoureuses épices barbecue et leur légendaire fraîcheur, les délicieuses croustilles Lay&rsquo;s&reg; Bar&bull;B&bull;Q font honneur à la tradition des barbecues dans la cour des Canadiens! Ces croustilles croquantes ont un goût sucré et fumé qui est à la fois frais et invitant; que vous les savouriez avec des burgers sur le gril ou que vous décidiez spontanément de les émietter dans une salade de poulet, elles ajouteront du croquant et du plaisir. Les croustilles Lay&rsquo;s&reg; Bar&bull;B&bull;Q au goût sucré et fumé : la saveur emblématique qui comble parfaitement tous vos besoins de collation.</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (sucre, sel, dextrose, mélasse, oignon en poudre, cassonade, glutamate monosodique, farine d'orge maltée, levure torula, épices, amidon de blé, poudre d'ail, arômes naturels [contient de la moutarde], extrait de paprika, sulfites).","Contient des ingrédients de l'orge, du blé, de la moutarde et des sulfites.",Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 270 mg | 11 %
- Glucides 27 g | 9 %
 -- Fibres 1 g | 5 %
 -- Sucres 3 g 
- Protéines 3 g 
- Vitamine A | 2 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:06:44,Packshots_BBQ.jpg,#373536,Background -  Product - BarBQ.png,Fabriqué au Canada | Kasher DE | Sans arômes artificiels | Sans couleurs artificielles,White,LAY'S 2,0,
4808,LAY'S®,LAY'S® Croustilles assaisonnées Cornichons à l'aneth,https://www.lays.ca/fr/products/lays®-croustilles-cornichons-à-laneth,30015465_Lay%27s_Dill%20Pickle_235g_0.png,<p>Pourquoi les croustilles Lay&rsquo;s&reg; Cornichons à l&rsquo;aneth sont-elles si traditionnelles? Parce que les Canadiens ne peuvent résister au goût piquant des cornichons à l&rsquo;aneth ni à la fraîcheur des croustilles Lay&rsquo;s&reg;! Vos papilles seront séduites par ce soupçon d&rsquo;aneth parfaitement savoureux dans chaque bouchée croquante. Une saveur de cornichons à l&rsquo;aneth dont les Canadiens raffolent!</p>,"Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (maltodextrine de maïs, acétate de sodium, acide acétique, sel, arômes naturels, glutamate monosodique, chlorure de potassium, aneth, poudre d'ail, amidon de maïs modifié, lactose, lactate de calcium).",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 300 mg | 12 %
- Potassium 550 mg | 16 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 0 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:10:37,Packshots_Dill-Pickle.jpg,#BEB133,Background -  Product - Dill Pickle.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | Sans arômes artificiels | Sans couleurs artificielles,White,LAY'S 6,0,
4796,LAY'S®,LAY'S® Croustilles assaisonnées Sel et vinaigre,https://www.lays.ca/fr/products/lays®-croustilles-sel-et-vinaigre,30015473_Lay%27s_Salt%20%26%20Vinegar_235g_0.png,"<p>Partez pour une aventure haute en saveur avec le goût audacieux des croustilles Lay&rsquo;s&reg; Sel et vinaigre. Assaisonnées des arômes puissants et piquants du sel et du vinaigre, ces croustilles croquantes à souhait et au goût classique accompagnent à merveille tout repas. Goûtez à la saveur relevée de ces croustilles qui régaleront vos papilles. Les amoureux de croustilles seront comblés par la fraîcheur et la texture croquante tout à fait irrésistible de ces croustilles Lay&rsquo;s&reg;!</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (acétate de sodium, acide acetique, maltodextrine de maïs, sel, lactose, acide citrique, acide malique).",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 450 mg | 19 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:00:46,Packshots_Salt-and-V.jpg,#479974,Background -  Product - Salt & Vinegar.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | Sans arômes artificiels | Sans couleurs artificielles,White,LAY'S 4,0,
4811,LAY'S®,LAY'S® Croustilles assaisonnées Sel marin et poivre,https://www.lays.ca/fr/products/lays®-croustilles-sel-marin-et-poivre,30015474_Lay%27s_Sea%20Salt%20%26%20Pepper_235g_0.png,"<p>Inspirées par la beauté, la musique et la culture du Cap Breton, les croustilles Sel marin et poivre de Lay&rsquo;s&reg; sont assaisonnées de sel marin et de poivre noir; une saveur typique des Maritimes que vous n&rsquo;oublierez jamais. Alors, relaxez et profitez du moment en savourant cette délicieuse combinaison croquante et équilibrée de sel et de poivre.</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (poudre de lactosérum, sel marin, sucre, sel, épices [y compris du poivre blanc et noir], oignon en poudre, acétate de sodium, acide acétique, glutamate monosodique, poudre d'ail, extrait de levure, dextrose, arômes naturel et artificiel, colorant, guanylate disodique, inosinate disodique).",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 26 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 350 mg | 15 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:10:51,Packshots_Sea-Salt.jpg,#ADB2B8,Background -  Product - Sea Salt.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | Sans arômes artificiels | Sans couleurs artificielles,White,LAY'S 8,0,
4815,LAY'S®,LAY'S® Croustilles assaisonnées Crème sure et oignon,https://www.lays.ca/fr/products/lays®-croustilles-crème-sure-et-oignon,30015476_Lay%27s_Sour%20Cream%20%26%20Onion_235g_0.png,"<p>Faites le bonheur de vos papilles gustatives avec les croustilles Lay&rsquo;s&reg; Crème sure et oignon. Ces croustilles à saveur crémeuse raviront vos papilles et celles de vos amis, c&rsquo;est pourquoi elles sont idéales pour partager. La saveur de l&rsquo;oignon qui contraste avec l&rsquo;onctuosité de la crème sure vous propose une délicieuse combinaison de saveurs en bouche. Appréciées depuis des années, ces croustilles toujours très populaires offrent le même bon goût crémeux et relevé.</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (lait écremé, sel, oignon en poudre, lactosérum, maltodextrine de maïs, crème sure, dextrose, glutamate monosodique, huile de palme, lactose, persil, arômes naturel et artificiel, babeurre, huile végétale, isolat protéique de lactosérum, acide citrique, caséine de sodium).",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 27 %
 -- saturés 2 g | 10 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 290 mg | 12 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:11:10,Packshots_Sour-Cream.jpg,#3F8842,Background -  Product - Sour Cream.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | Sans arômes artificiels ,White,LAY'S 5,0,
4809,LAY'S®,LAY'S® Croustilles assaisonnées Bacon fumé,https://www.lays.ca/fr/products/lays®-croustilles-bacon-fumé,30015475_Lay%27s_Smokey%20Bacon_235g_0.png,"<p>La popularité du goût du bacon fumé nous a inspirés pour créer cette saveur typiquement canadienne. Réveillez vos papilles en savourant ces croustilles à texture croquante et à saveur bien de chez nous. Les croustilles Lay&rsquo;s&reg; Bacon fumé, une tradition nordique irrésistible!</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (maltodextrine de maïs, dextrose, sel, levure torula, sucre, glutamate monosodique, lactose protéine de maïs hydrolysée, paprika, matière sèche de sirop de maïs, extrait de levure autolysée, colorant, épice, caséinate de sodium, acide malique, arômes naturels, inosinate disodique, guanylate disodique, arômes artificiels).",Contient des ingrédients du lait. ,Teneur par 50 g portion (27 croustilles),"- Calories | 270 
- Lipides 17 g | 25 %
 -- saturés 1.5 g | 9 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 340 mg | 14 %
- Glucides 27 g | 9 %
 -- Fibres 1 g | 5 %
 -- Sucres 2 g 
- Protéines 3 g 
- Vitamine A | 0 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2016-02-25 12:10:42,Packshots_Smokey-Bacon.jpg,#745921,Background -  Product - Smokey Bacon.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier,White,LAY'S 9,0,
6616,LAY'S®,LAY'S® Croustilles assaisonnées Cheddar Jalapeño,https://www.lays.ca/fr/products/croustilles-lays®-saveur-cheddar-jalapeño,30015574_Lays_Cheddar_Jalapeno_235g_0.png,"<p>Lay&rsquo;s&reg; vous présente ces nouvelles croustilles délicieusement fromagées qui ont du mordant!&nbsp;</p><p>Les NOUVELLES croustilles Lay&rsquo;s&reg; Saveur Cheddar Jalapeño sont ici pour de bon! Ces croustilles délicieusement distrayantes combinent le goût réconfortant du cheddar aux arômes subtilement épicés du jalapeño. Le tout, assaisonné à la perfection et offert par la marque de croustilles préférée des Canadiens!&nbsp;</p>","Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (maltodextrine, ingrédients laitiers modifiés, sel, fromage cheddar, piment jalapeño, oignon en poudre, sucre, poivron vert, paprika, Acacia, huile végétale, fines herbes, poudre d'ail, épices, phosphate disodique, arôme naturel).",CONTIENT DES INGRÉDIENTS DU LAIT,Pour 27 croustilles (50 g),"- Calories | 270 
- Lipides 17 g | 27 %
 -- saturés 2 g | 10 %
 -- trans 0 g 
- Cholestérol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Glucides 26 g | 9 %
 -- Fibres 1 g | 4 %
 -- Sucres 1 g 
- Protéines 3 g 
- Vitamine A | 2 %
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 4 %
",2020-03-06 10:48:44,Packshots_Cheddar-Jal.jpg,#EF8C3D,Background -  Product - Cheddar Jal.png,Fabriqué au Canada | Sans Gluten | Kasher Laitier | Sans arômes artificiels | Sans couleurs artificielles,White,LAY'S 7,1,featured-product-jalapeno.png
