Category,Name,Link,Product Image,Image,Description,Keywords,Ingredients,Alert,Portion,Nutrition Facts,Order,Weight,Wine Pairing,Featured,Featured Image,Signature Title,Signature Subtitle,Signature Content,Signature Banner,Signature Banner Mobile,Signature Image,Signature Image Mobile,Signature Video Key
Miss Vickie's<sup>®</sup>,"Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> à saveur de cornichons à l’aneth épicés
",,miss-vickies-dill_pickle_packshots.png,MissVickies_Dill Pickle_200g_2.png,"<p> Les croustilles cuites à la marmite Miss Vickie's® à saveur de cornichons à l’aneth épicés sont concoctées à partir d’un mélange unique d’ingrédients pour vous offrir des arômes d’aneth, de persil, d’ail, de poivron vert et de poivre de Cayenne qui créent ce goût surprenant.
 
- Sans gras trans 
- Faible en gras saturés 
- Sans arôme ou colorant artificiel 
- Sans cholestérol 
- Sans agent de conservation </p>",,"POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTABLE, ASSAISONNEMENT (MALTODEXTRINE, SEL, SUCRE, POUDRE D’AIL, ACÉTAITE DE SODIUM, POUDRE DE POIVRON VERT, POUDRE D’OIGNON, ACIDE ACÉTIQUE* ACIDE CITRIQUE*, FINES HERBES ET EPICES (Y COMPRIS DES GRAINS D’ANETH), EXTRAIT DE LEVURE, DEXTROSE, EXTRAIT DE PAPRIKA, ARMÔE NATUREL) 
*AGENT ACIDIFANT ",,Pour 28 croustilles (50 g),"- Calories 260 |
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 330 mg | 14 %
- Glucides 30 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 1 g | 
- Protéines 3 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",1,,Sauvignon Blanc - Woodbridge par Robert Mondavi,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Recette originale,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-recette-originale,MissVickies_Original_200g_2.png,miss-vickies-packshot-200g-original-recipe.png,<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup>; Recette originale sont savamment assaisonnées de sel marin et offrent toute la texture croquante et distinctive des croustilles Miss Vickie's<sup>®</sup>. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gluten</p>,,"Pommes de terre spécialement sélectionnées, huile végétale, sel marin.",,Pour 31 croustilles (50 g),"- Calories 270 |
- Lipides 16 g | 25 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 210 mg | 9 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 0 g | 
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 0 %
- Fer | 6 %
",30,,Cabernet Sauvignon,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Vinaigre balsamique et oignons doux,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-vinaigre-balsamique-et-oignons-doux,MissVickies_BalsamicVinegarSweetOnion_200g.png,miss-vickies-packshot-200g-balsamic-vinegar-sweet-onion.png,<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup>; à saveur de Vinaigre balsamique et oignons doux présentent un mélange parfait de vinaigre balsamique acidulé et d&rsquo;oignons sucrés. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation</p>,,"Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (sel, maltodextrine de mais, oignon en poudre, cassonade, sucre, acetate de sodium*, dextrose, arôme naturel (lait), maltodextrine de blé, acide acetique*, poudre d'ail, matière sèche du vinaigre balsamique, mélasse de fantaisie, acide malique, acide citrique*, matière sèche du vinaigre de malt (contient de l'orge), extraits de paprika). Contient des ingrédients du lait, du blé et de l'orge.
*Agent acidifiant ",,Pour 28 croustilles (50 g),"- Calories 260 | 
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 340 mg | 14 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 1 g | 
- Protéines 3 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",80,,Merlot,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> cheddar de campagne et fines herbes,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-cheddar-de-campagne-et-fines-herbes,MissVickies_HarvestCheddarHerbs_200g.png,miss-vickies-packshot-200g-harvest-cheddar-herbs.png,"<p>Les croustilles cuites à la marmite MISS VICKIE'S<sup>®</sup> cheddar de campagne et fines herbes&nbsp;: un mélange unique de fines herbes, notamment du basilic, du persil et du romarin, parfaitement combiné à du fromage cheddar crémeux.</p>",,"POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (MALTODEXTRINE DE MAÏS, SEL, POUDRE DE LACTOSÉRUM, BABEURRE EN POUDRE, FROMAGE CHEDDAR EN POUDRE, LAIT ÉCRÉMÉ EN POUDRE, OIGNON EN POUDRE, SUCRE, ARÔME NATUREL, POUDRE D'AIL, FINES HERBES, EXTRAIT DE LEVURE, BEURRE, GOMME ACACIA, GOMME DE GUAR, COLORANT). ",Contient des ingrédients du lait.,Teneur par portion de 50 g (28 croustilles),"- Calories 260 | 
- Lipides 15 g |  23 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g | 
- Cholestérol 0 mg | 0 %
- Sodium 310 mg | 13 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 1 g | 
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",10,,Sauvignon Blanc,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Jalapeño,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-jalapeño,MissVickies_Jalepeno_200g.png,miss-vickies-packshot-200g-jalapeno.png,"<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> à saveur de Jalapeño sont concoctées à partir d&rsquo;un mélange unique d&rsquo;épices, incluant des piments jalapeño et un soupçon d&rsquo;oignons, de paprika et d&rsquo;ail, pour créer ce goût surprenant. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gluten</p>",,"Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (maltodextrine de mais, sel, dextrose, oignon en poudre, levure torula, épices, poudre de lactoserum, paprika, huile végétale, poudre d'ail, poudre de piment jalapeño, arômes naturels). Contient des ingrédients du lait.",,Pour 28 croustilles (50 g),"- Calories 260 | 
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 320 mg | 13 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 9 %
 -- Sucres 1 g | 
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",60,,White Zindfandel,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Recette originale Moins de gras,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-recette-originale-moins-de-gras,MissVickies_ReducedFat_Original.png,miss-vickies-packshot-200g-original-recipe-reduced-fat.png,<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> Recette originale Moins de gras sont savamment assaisonnées de sel marin et contiennent 40 % moins de gras que la croustille la plus populaire. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 40% moins de gras que les croustilles les plus populaires -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation</p>,,"Pommes de terre spécialement sélectionnées, huile végétale, sel marin.",,Pour 31 croustilles (50 g),"- Calories 240 | 
- Lipides 10 g | 15 %
 -- Saturés 1.5 g | 7 %
 -- + Trans 0 g | 
- Cholestérol 0 mg | 0 %
- Sodium 230 mg | 10 %
- Glucides 34 g | 11 %
 -- Fibres 3 g | 11 %
 -- Sucres 2 g | 
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 0 %
- Fer | 6 %
",90,,Cabernet Sauvignon,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Miel Et Dijon Croustilles,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-miel-et-dijon-croustilles,MissVickies_HoneyDijon_200g.png,miss-vickies-packshot-200g-honey-dijon.png,"<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> Miel et Dijon marient le goût sucré du miel et la saveur sophistiquée de la moutarde de Dijon pour créer un mélange de saveurs sucrées-salées parfaitement équilibré.</p><p>Sans gras trans, pauvres en gras saturés, aucun arôme ou colorant artificiel, sans agent de conservation, sans cholestérol.&nbsp;</p>",,"OMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SUCRE, MALTODEXTRINE DE MAÏS, SEL, MATIÈRE SÈCHE DU MIEL, AMIDON DE MAÏS MODIFIÉ, ÉPICES (Y COMPRIS DE LA MOUTARDE), OIGNON EN POUDRE, MATIÈRE SÈCHE DE MÉLASSE DE FANTAISIE, EXTRAIT DE LEVURE, ACIDE CITRIQUE*, POUDRE D'AIL, COLORANT, ARÔME NATUREL). *AGENT ACIDIFIANT.",CONTIENT DES INGRÉDIENTS DE LA MOUTARDE.,Teneur par portion de 50 g,"- Calories 260 | 
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g | 
- Cholestérol 0 mg | 0 %
- Sodium 240 mg |10 %
- Glucides 30 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g | 
- Protéines 3 g | 
- Vitamine A | 0 % 
- Vitamine C | 15 %
- Calcium | 2 %
- Fer | 6 %
",0,220 g,,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Sel marin et vinaigre de malt,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-sel-marin-et-vinaigre-de-malt,MissVickies_SeaSaltMaltVinegar_200g.png,miss-vickies-packshot-200g-sea-salt-mal-vinegar.png,"<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> à saveur de Sel marin et vinaigre de malt sont, grâce à leur goût acidulé distinct, parmi les préférées des amateurs de croustilles. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation</p>",,"Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (lactés, sel marin, maltodextrine de blé, acetate de sodium*, acide acetique*, matière sèche de vinaigre de malt (contient de l'orge), acide malique, acide citrique). Contient des ingrédients du lait, du blé et de l'orge
*Agent acidifiant",,Pour 28 croustilles (50 g),"- Calories 260 | 
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 260 mg | 19 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g | 8 %
- Protéines 3 g |
- Vitamine A | 0 % 
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",40,,Pinot Grigio,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Délice BBQ du Sud,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-délice-épicé-bbq,MissVickies_SweetSouthernBBQ_200g_2.png,miss-vickies-packshot-200g-sweet-southern-bbq.png,"<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> Délice BBQ du Sud offrent une toute nouvelle saveur alléchante en combinant le goût sucré de la sauce barbecue à une touche piquante pour vous donner une collation à la fois sucrée, salée et épicée.</p>",,"POMMES DE TERRE SPÉCIALEMENT SÉLECTIONNÉES, HUILE VÉGÉTALE, ASSAISONNEMENT (SUCRE, SEL, MALTODEXTRINE DE MAÏS, ARÔMES NATURELS [LAIT], OIGNON EN POUDRE, LEVURE TORULA, POUDRE DE TOMATES, POUDRE D'AIL, ÉPICES, MÉLASSE, EXTRAITS DE PAPRIKA, HUILE DE MOUTARDE).",CONTIENT DES INGRÉDIENTS DU LAIT ET DE LA MOUTARDE.,Teneur par portion de 50 g,"- Calories 260 | 
- Lipides 15g | 23%
 -- Saturés 1.5g |
 -- + Trans 0g | 8%
- Cholestérol 0mg | 0%
- Sodium  300mg | 12%
- Glucides 29g | 10%
 -- Fibres 2g | 8%
 -- Sucres 2g | 
- Protéines 3g | 
- Vitamine A | 0%
- Vitamine C | 20%
- Calcium | 2%
- Fer | 6%
",0,220 g,Merlot - Woodbridge par Robert Mondavi,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> BBQ fumé au bois de pommier,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-bbq-fumé-au-bois-de-pommier,MissVickies_ApplewoodSmokedBBQ_200g.png,miss-vickies-packshot-200g-applewood-smoked-bbq.png,<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> à saveur de BBQ fumé au bois de pommier sont faites d&rsquo;ingrédients de qualité pour créer ce goût délicieux; un équilibre parfait entre la saveur de BBQ sucré et le goût fumé du bois de pommier. -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gluten</p>,,"Pommes de terre spécialement sélectionnées, huile végétale, assaisonnement (sucre, sel, arôme naturel, poudre de tomates, oignon en poudre, lait de beurre en poudre, levure torula, cassonade, poudre de mélasse, paprika, épices et fines herbes (contient de la moutarde), poudre d'ail, extrait de levure, maltodextrine de mais, colorant (contient des sulfites)). Contient des ingrédients du lait, de la moutarde et des sulfites.",,Pour 28 croustilles (50 g),"- Calories 270 | 
- Lipides 15 g | 23 %
 -- Saturés 1.5 g | 8 %
 -- + Trans 0 g |  
- Cholestérol 0 mg | 0 %
- Sodium 220 mg | 9 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 2 g | 
- Protéines 4 g |
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 2 %
- Fer | 6 %
",20,,Merlot,0,,,,,,,,,
Miss Vickie's<sup>®</sup>,Croustilles cuites à la marmite MISS VICKIE’S<sup>®</sup> Non salées,https://www.missvickies.ca/fr/products/croustilles-cuites-à-la-marmite-miss-vickie’s<sup>®</sup>-non-salées,MissVickies_Unsalted_200g.png,miss-vickies-packshot-200g-unsalted.png,"<p>Les croustilles cuites à la marmite Miss Vickie's<sup>®</sup> Non salées offrent la même texture croquante parfaite que nos croustilles Recette originale, le sel en moins. -Sans gras trans -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pauvres en gras saturés -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans GMS -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Aucun arôme ou colorant artificiel -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans cholestérol -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans agent de conservation -&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sans gluten</p>",,"Pommes de terre spécialement sélectionnées, huile végétale.",,Pour 31 croustilles (50 g),"- Calories 270 | 
- Lipides 16 g | 25 %
 -- Saturés 1.5 g | 9 %
 -- + Trans 0 g | 
- Cholestérol 0 mg | 0 %
- Sodium 0 mg | 0 %
- Glucides 29 g | 10 %
 -- Fibres 2 g | 8 %
 -- Sucres 0 g | 
- Protéines 4 g | 
- Vitamine A | 0 %
- Vitamine C | 20 %
- Calcium | 0 %
- Fer | 6 %
",100,,Cabernet Sauvignon,0,,,,,,,,,
