ID,Year,Image,Description,
4424,1850,1850.jpg,"<p><strong>Ferdinand Schumacher</strong> founds German Mills American Cereal Company in Akron, OH. During the same period, John Stuart established the North Star Mills Company in Canada.</p>",2015-12-16 14:08:46
4423,1877,1877.jpg,"<p>The Quaker brand registers the first trade-mark for a breakfast cereal. The trade-mark is registered with the U.S. Patent Office as ""a figure of a man in Quaker branded garb."" Both former owners, Henry Seymour and William Heston, claim to have selected the Quaker name as a symbol of good quality and honest value.</p>",2015-12-16 14:08:19
4422,1881,Hency C_About us.jpg,"<p><strong>Henry Parsons Crowell</strong> buys the bankrupt Quaker Mill in Ravenna, OH, and its most important asset – the brand name Quaker.</p>",2015-12-16 14:07:55
4421,1882,1882.jpg,<p>Crowell launches the first national magazine advertising program for a breakfast cereal.</p>,2015-12-16 14:07:37
4420,1890,1890.jpg,"<p>The American Cereal Company runs a special all-Quaker Oats train from Cedar Rapids, Iowa to Portland, Oregon, and introduces the first ever ""trial-size samples."" 1/2 oz. sample boxes of Quaker Oats are delivered to every mailbox in Portland, Oregon.</p>",2015-12-16 14:07:14
4419,1891,1891.jpg,"<p>Two more firsts – the Quaker brand introduces the idea of packaged premiums by inserting chinaware items into boxes of oats, and becomes the first brand to feature a recipe on its box (the recipe was for Oatmeal Bread).</p>",2015-12-16 14:06:56
4436,1902,1902.jpg,"<p>The major Canadian production facility for Quaker Oats is located in Peterborough, Ontario on the shores of the Otonabee River.</p>",2015-12-22 16:26:13
4418,1908,1908.jpg,<p>Oat Cakes become the first oatmeal cookie to appear on the Quaker® Oats package.</p>,2015-12-16 14:06:35
4417,1915,1915.jpg,<p>The familiar round Quaker® Oats package is introduced.</p>,2015-12-16 14:06:16
4416,1922,1922.jpg,"<p>Quaker introduces Quaker® Quick Oats, one of the first convenience products.</p>",2015-12-16 14:05:55
4415,1961,1961.jpg,<p>Life® Cereal is introduced in its original flavour.</p>,2015-12-16 14:05:37
4414,1966,1966.jpg,<p>Quaker® Instant Oatmeal is introduced.</p>,2015-12-16 14:05:17
4413,1970,1970.jpg,<p>The first flavoured instant oatmeal is introduced – Maple & Brown Sugar is distributed nationally and Date & Brown Sugar is distributed regionally.</p>,2015-12-16 14:04:56
4412,1981,1981.jpg,<p>Quaker® introduces the world to Quaker Chewy® granola bars.</p>,2015-12-16 14:04:35
4411,1987,1987.jpg,"<p>Actor Wilford Brimley stars in the advertising campaign, ""The Right Thing to Do,"" which runs for over 5 years.</p>",2015-12-16 14:04:16
4410,1995,1995.jpg,<p>The Quaker® brand submits a heart health petition to the U.S. Food and Drug Administraton (FDA) for consideration.</p>,2015-12-16 14:03:56
4409,1996,1996.jpg,<p>The FDA issues a proposal for the first health claim for a specific food – oatmeal for heart health.</p>,2015-12-16 14:03:33
4408,1997,1997.jpg,"<p>The first food-specific health claim for oatmeal is approved by the FDA. The new heart health claim appears on Quaker® Oatmeal cereals which qualify. The claim reads: ""Soluble fibre from oatmeal as part of a low saturated fat, low cholesterol diet, may reduce the risk of heart disease.""</p>",2015-12-16 14:03:13
4407,2007,2007.jpg,<p>The Quaker® brand celebrates its 130-year anniversary.</p>,2015-12-16 14:02:53
4406,2012,2012.jpg,"<p>The famous Quaker® man (affectionately known as Larry) undergoes a subtle makeover - including getting back in shape by eating right and exercising, trimming his famous coif and revealing more radiant skin from daily oatmeal masks.</p>",2015-12-16 14:01:46